,lattitude,longitude,city,country,max_temperature,humidity,wind_speed,cloud_percentage
0,-55.752100878801016,-79.22559015404019,punta arenas,cl,39.2,48,26.4,75
1,-57.76499324923921,31.968255661873144,port elizabeth,za,60.8,72,23.04,90
2,-55.19270277714098,-88.75847209873581,punta arenas,cl,39.2,48,26.4,75
3,-58.43949189640636,-94.31505956021905,punta arenas,cl,39.2,48,26.4,75
4,-56.20637398142801,-2.0258348923885876,cape town,za,61.0,76,18.34,20
5,-57.22448196418696,158.2959385661449,tuatapere,nz,55.0,62,8.99,52
6,-56.07173828332759,-98.74175921445645,punta arenas,cl,39.2,48,26.4,75
7,-56.91010350161659,112.78604463661463,albany,au,46.4,81,10.29,40
8,-58.73363140545265,122.08424758196907,albany,au,46.4,81,10.29,40
9,-59.39157898911871,131.20737717625343,new norfolk,au,59.0,58,10.29,75
10,-58.24833506409184,92.28292799305882,busselton,au,43.0,71,11.95,8
11,-56.02929087275085,-24.137924721148153,cidreira,br,67.42,93,7.74,100
12,-57.600295958772755,-41.12721538596972,mar del plata,ar,53.01,53,20.8,75
13,-55.218071933454205,96.15124191465407,busselton,au,43.0,71,11.95,8
14,-55.758274993950494,105.47993140376474,albany,au,46.4,81,10.29,40
15,-55.570032587172946,104.96833571627377,busselton,au,43.0,71,11.95,8
16,-57.89479568593903,25.309326733463536,kruisfontein,za,57.0,91,8.99,100
17,-58.81006424898144,-163.2849118837098,avarua,ck,73.4,88,4.7,69
18,-58.645294834505904,123.46432372759915,albany,au,46.4,81,10.29,40
19,-50.24781774363161,-103.26578362620366,castro,cl,48.2,45,11.41,44
20,-53.822610568814184,-87.70181094579787,punta arenas,cl,39.2,48,26.4,75
21,-52.70071530546469,102.68993022302527,busselton,au,43.0,71,11.95,8
22,-51.51260416900823,136.7943315117775,new norfolk,au,59.0,58,10.29,75
23,-51.0970199227363,107.48509770672615,busselton,au,43.0,71,11.95,8
24,-53.55169376893812,148.05411764810611,hobart,au,59.0,58,10.29,75
25,-51.25547912654883,-2.935861123327129,cape town,za,61.0,76,18.34,20
26,-52.88152101514933,164.7312570414391,bluff,nz,55.0,62,8.99,34
27,-50.64501638512674,163.52410096039767,tuatapere,nz,55.0,62,8.99,52
28,-54.52079744150864,6.605753714496046,hermanus,za,55.99,90,5.01,99
29,-51.66756931447151,-4.673896528758149,cape town,za,61.0,76,18.34,20
30,-52.77895150498555,-0.7144164766763765,cape town,za,61.0,76,18.34,20
31,-52.145603975909616,-69.70600488116918,rio gallegos,ar,42.8,18,17.22,20
32,-51.12973900147183,124.49014548304325,albany,au,46.4,81,10.29,40
33,-51.357832153640835,27.59330934681529,port elizabeth,za,60.8,72,23.04,90
34,-54.60841320486407,133.21824005200858,new norfolk,au,59.0,58,10.29,75
35,-54.25087304121433,-164.76960797533218,avarua,ck,73.4,88,4.7,69
36,-51.35427172826198,66.12943638719375,saint-philippe,re,71.6,78,2.24,34
37,-53.42319637207654,95.78542565084973,busselton,au,43.0,71,11.95,8
38,-45.28248317327744,-22.58332571078762,arraial do cabo,br,89.6,59,9.17,0
39,-48.29260420852199,-134.90820720369396,rikitea,pf,72.46,80,20.09,1
40,-47.597277602685914,111.17750804416261,albany,au,46.4,81,10.29,40
41,-48.463515063496715,14.14129806550116,hermanus,za,55.99,90,5.01,99
42,-48.10430839263493,71.85966095634339,souillac,mu,71.6,83,1.12,40
43,-49.9663889434039,-51.24200344121536,mar del plata,ar,53.01,53,20.8,75
44,-49.814401555347395,162.77546944484368,tuatapere,nz,55.0,62,8.99,52
45,-45.86945103411196,26.725147228630817,port elizabeth,za,60.8,72,23.04,90
46,-48.749841950742905,5.287513301155201,cape town,za,61.0,76,18.34,20
47,-46.61995185023674,159.90744554969376,tuatapere,nz,55.0,62,8.99,52
